[4037] [0.00434771386709803]
[15] [0.003472627186663094]
[6634] [0.0033848534953935475]
[2625] [0.0030987322875347654]
[2398] [0.002461726285154732]
[2470] [0.0023816418992543965]
[2237] [0.0023560255735935493]
[4191] [0.0021401344442114364]
[7553] [0.0020475389709032465]
[5254] [0.0020290145327110814]
[2328] [0.0019244159733883552]
[1186] [0.0019209000712971569]
[1297] [0.0018362579081955294]
[4335] [0.0018276908594572]
[7620] [0.0018232726478359575]
[5412] [0.0018108492282578935]
[7632] [0.0018003051929412458]
[4875] [0.0017682869590186744]
[6946] [0.00170657904653813]
[3352] [0.0016834902127841533]
[6832] [0.001668605245202315]
[2654] [0.0016674718036839599]
[762] [0.0016440344633523172]
[737] [0.0016416639369708772]
[2066] [0.001619076404276732]
[8293] [0.0016092708965886055]
[3089] [0.0016061591683857494]
[28] [0.0015937021142588194]
[2535] [0.0015723691011698487]
[3334] [0.0015636469104995383]
[214] [0.001558509404462003]
[665] [0.0015505343962067192]
[4735] [0.0015280155162994856]
[6774] [0.0015239432996132156]
[7092] [0.0015114298039370245]
[2565] [0.0014638217600804488]
[5484] [0.0014561237661441205]
[8042] [0.001393634367962716]
[4310] [0.0013796632482615263]
[5423] [0.0013377898340696582]
[1211] [0.001337747339632652]
[3456] [0.001337074272959753]
[2657] [0.0012883088451604275]
[5404] [0.0012871411396264886]
[5233] [0.0012850929154460595]
[4712] [0.0012663181177214352]
[271] [0.0012515690676022618]
[4828] [0.0012273782117204813]
[5079] [0.0012260001254338286]
[4261] [0.0012133465002327406]
[5210] [0.0012081891570728206]
[8163] [0.001192113906712778]
[6914] [0.0011895211689464805]
[3459] [0.0011865084014971974]
[2285] [0.0011717372513656073]
[1549] [0.0011715915840771495]
[1842] [0.0011656265686821588]
[4666] [0.0011436795030474022]
[993] [0.0011326549166856589]
[3084] [0.0011168329572622912]
[3562] [0.0011118419870235312]
[1026] [0.0011068278608519153]
[5123] [0.0010992790548940382]
[2958] [0.0010936641992328828]
[3537] [0.0010798664819602682]
[3117] [0.0010793897470166458]
[2576] [0.001075836638427676]
[2643] [0.001058064979847433]
[922] [0.0010475377266600226]
[5022] [0.0010455411533188748]
[299] [0.001041883596347285]
[1855] [0.0010394410596591436]
[3897] [0.0010371555947563244]
[2651] [0.0010368435244194135]
[4110] [0.0010347315459029813]
[282] [0.0010142933982304546]
[4600] [0.0010101789529995881]
[1031] [0.0010090024863163253]
[4687] [0.0010082971482858736]
[7699] [0.0010053477534482894]
[4536] [0.0010045580446647398]
[2871] [0.0010041004999547698]
[2746] [0.0010039284116408775]
[3443] [0.0010028543253572087]
[3755] [0.0010015941506903092]
[1385] [0.0009997413745223172]
[3568] [0.0009924795868567896]
[5459] [0.000990510831180901]
[5543] [0.0009900278388019807]
[4400] [0.0009844356252946957]
[2485] [0.0009715726577974482]
[1633] [0.0009598543735161865]
[7890] [0.0009570871384064955]
[3976] [0.000955914450674829]
[4256] [0.0009546237763766993]
[1726] [0.0009402463638502072]
[3238] [0.0009348782522732488]
[2323] [0.0009311786625059]
[6784] [0.0009267915749433745]
[3034] [0.0009238620824523709]
