[8295] [4.150760709422982e+36]
[15] [3.937683016689035e+36]
[737] [3.8590894295710687e+36]
[2398] [3.792130984654647e+36]
[7632] [3.7366245424916035e+36]
[8297] [3.571825684873448e+36]
[8293] [3.2548261095618724e+36]
[840] [2.963896226627063e+36]
[8294] [2.7433433392709444e+36]
[1982] [2.4075470000651982e+36]
[1549] [2.3268994745253285e+36]
[3459] [2.1313359253273628e+36]
[3334] [1.9694266104001925e+36]
[5412] [1.945849333775463e+36]
[7620] [1.7256941659280494e+36]
[6832] [1.7118301456640904e+36]
[4536] [1.6863485023035727e+36]
[465] [1.6498197093188753e+36]
[2565] [1.6075963556490748e+36]
[3962] [1.6016199362632305e+36]
[3238] [1.5401804607013883e+36]
[3084] [1.508544782750843e+36]
[896] [1.5050542560295948e+36]
[1026] [1.4982320798429584e+36]
[8292] [1.4950053768757877e+36]
[7809] [1.4841516458466278e+36]
[7553] [1.4269874852950636e+36]
[5002] [1.4042566526896714e+36]
[72] [1.372629767978238e+36]
[7961] [1.2114138528401686e+36]
[6618] [1.1939561752450906e+36]
[6004] [1.1918786750325827e+36]
[1385] [1.1913859391819646e+36]
[762] [1.1882298616547381e+36]
[5233] [1.1775032683307672e+36]
[3456] [1.152189351528838e+36]
[2658] [1.1256424574358128e+36]
[1403] [1.1183549417261882e+36]
[6833] [1.1059135177863968e+36]
[2940] [1.0830350918120902e+36]
[2276] [1.0738228870561266e+36]
[7092] [1.0710794772859232e+36]
[4310] [1.0623624429236002e+36]
[1571] [1.016922107164395e+36]
[3089] [1.0084273425525542e+36]
[4071] [1.0061711375745722e+36]
[837] [9.93891963850553e+35]
[6299] [9.842515869670548e+35]
[4735] [9.819281347763856e+35]
[1297] [9.817518874390581e+35]
[4712] [9.199244926957881e+35]
[5079] [8.991634109094355e+35]
[4037] [8.928152954235165e+35]
[4191] [8.877061239369561e+35]
[1473] [8.838107447010764e+35]
[4875] [8.775554644060203e+35]
[2160] [8.549366089651322e+35]
[1680] [8.446162679195918e+35]
[7839] [8.32391405568229e+35]
[6634] [8.222295931847465e+35]
[3976] [8.141876864156157e+35]
[5254] [7.99368238761971e+35]
[4335] [7.983064247034563e+35]
[7381] [7.825158570993218e+35]
[2433] [7.755555736919766e+35]
[2440] [7.753355797528722e+35]
[2851] [7.75285225191154e+35]
[7699] [7.592747009585711e+35]
[6414] [7.422567800633335e+35]
[155] [7.356455053114085e+35]
[5449] [7.299892835196653e+35]
[2381] [7.226566267728414e+35]
[6784] [7.150931556306435e+35]
[5800] [7.031664326367759e+35]
[2516] [6.96249026112974e+35]
[974] [6.908660902128182e+35]
[3897] [6.852239916739664e+35]
[7908] [6.79401835006472e+35]
[2066] [6.780391942736268e+35]
[5839] [6.75758264630573e+35]
[938] [6.547894051707024e+35]
[1307] [6.439948156582245e+35]
[5902] [6.365158628239815e+35]
[7478] [6.322445792239852e+35]
[1159] [6.312041550984568e+35]
[5022] [6.286279072752811e+35]
[3813] [6.252430584358903e+35]
[1352] [6.236925075573337e+35]
[214] [6.1026179918162355e+35]
[7890] [5.965448725251468e+35]
[2144] [5.9609248399478725e+35]
[3005] [5.925104817008926e+35]
[2651] [5.808765780065338e+35]
[1498] [5.789886833053322e+35]
[5288] [5.761893531455447e+35]
[7510] [5.758280830199055e+35]
[3919] [5.72845596180726e+35]
[7871] [5.713389780588134e+35]
[3643] [5.668552766526735e+35]
[6979] [5.610689050287782e+35]
